TCGA.01.0630,TCGA.01.0631,TCGA.01.0633,TCGA.01.0636,TCGA.01.0637,TCGA.01.0628,TCGA.01.0639,TCGA.01.0642
EGFR,8.88625887957281,7.34863176214845,8.14882201727709,8.19894174212545,8.2599050605402,7.76437306874708,7.85674481417626,7.81101223854752
KLF6,7.3070821481446,9.20028421135194,7.56246142156841,6.93626985400461,8.83747695448074,6.71211379324447,7.14354258738586,7.23653322997848
FOXO1,8.29117874845493,7.14451297738188,8.01299610827124,7.75265443399658,8.03186182763359,7.94471150563184,7.50747187044396,8.14670050166173
KRAS,7.36109437959682,7.7367652355944,7.6504348146795,7.46362649817066,7.6812669152039,7.6700602101175,7.57328399211756,8.20856899218701
JAK2,4.32679817410911,4.00009775103092,4.33124247284502,4.65429597102867,3.44836466132099,3.47206570356658,3.95664986538893,3.9810760931906
BRCA1,4.37035528063993,3.89534333725529,3.81790112945989,4.4994087989426,4.4211439601132,4.38849540132447,4.53258280067628,4.26872882210153
BRCA2,3.2203453755523,3.07943600625482,3.36451637491631,3.2947017281058,3.47401545844273,3.58401256214712,3.33424484396949,3.37605955708551
PPM1D,6.56026848626118,6.8249380989398,6.72314738604278,6.48429381282455,6.81893118344818,6.43935180508008,6.6072150395416,6.15050752884916
