"","norMean","tuMean"
"EGFR",8.03433619789186,6.80499631166868
"KLF6",7.61697052501989,7.41232817110614
"FOXO1",7.85401099668447,6.38737538696114
"KRAS",7.66813762970842,8.41649410620267
"JAK2",4.0213238365601,3.73313859305032
"BRCA1",4.27424494131415,4.53218367409119
"BRCA2",3.34091648830926,3.49906876954285
"PPM1D",6.57608166762342,5.92447610715965
