TCGA.04.1369,TCGA.24.1418,TCGA.24.1563,TCGA.29.1771,TCGA.04.1655,TCGA.29.1777,TCGA.24.1471,TCGA.24.1416,TCGA.57.1994,TCGA.13.2057,TCGA.29.1703,TCGA.61.1917,TCGA.24.1413,TCGA.13.0913,TCGA.29.1761,TCGA.23.1021,TCGA.24.0982,TCGA.24.0966,TCGA.09.1674,TCGA.36.1577,TCGA.61.1910,TCGA.36.2549,TCGA.24.1551,TCGA.04.1530,TCGA.61.2098,TCGA.61.2094,TCGA.23.1124,TCGA.24.2290,TCGA.13.1409,TCGA.25.2400,TCGA.13.0919,TCGA.13.0904,TCGA.30.1855,TCGA.24.1930,TCGA.13.0768,TCGA.24.1845,TCGA.23.1113,TCGA.61.2102,TCGA.13.0765,TCGA.24.1430,TCGA.09.1669,TCGA.30.1862,TCGA.24.1557,TCGA.61.2003,TCGA.25.1319,TCGA.57.1586,TCGA.23.1116,TCGA.09.1670,TCGA.13.1477,TCGA.24.1562
EGFR,5.06000251347072,7.38304482287087,5.93103444583009,7.20764520081453,8.40789239816226,5.9746183924437,7.65731025247587,6.46317279942461,7.18191167792535,7.44550984043144,5.87027890051675,5.27061540539304,6.57049263341597,5.38334087687355,4.47036278414676,5.62468904281744,6.48594688737384,5.75466076306409,7.41765690564858,5.58333761868835,6.29593837151437,6.39380320548543,8.45551038970109,7.20385746551268,8.50493469668039,7.37661085059066,8.51981328166917,6.8444203773282,6.83562617625205,8.17751731849017,5.8970468908173,4.0245472238,8.02528325466798,7.40510974939524,7.85989764854729,7.19280616093835,7.16618205617374,7.90867916536688,8.82579274561572,6.54542027162941,4.66549663322527,7.41839991105443,6.50230911681884,8.41451182681815,4.19446662037667,6.55638060256438,7.0253186992474,7.53431945706008,8.51028945861344,6.82600179569122
KLF6,7.37790978896374,8.76683353663195,9.48672198381344,7.97451982167699,8.18260014150585,7.41182294831375,8.64810965925472,8.36486031134636,7.93757612525635,8.73505141296537,8.67637282987718,7.10359815644858,7.01994304711732,6.29302046697379,6.15208451548391,7.7501433718078,6.87405533769946,6.26940247752679,7.07853562418898,7.93076522664378,7.01092200923007,6.93367850728217,7.456074653055,8.40177151538165,6.26414751655109,7.83050418179491,8.29409006171649,8.27089050508668,6.38096477504182,8.25673910063962,8.77652410000166,6.28131774699025,6.17544358947464,7.20802213423381,8.61278351377067,5.76856089754427,7.38257185467116,6.07943406185051,7.1665493484003,6.17504011104991,6.95074283682736,6.9842893115156,6.90651584866852,7.75575842516445,6.8070166692949,5.97873033444477,8.51675545849171,7.70495059466437,6.66978796967434,7.58190413929842
FOXO1,5.62570998264094,6.77538235963205,5.36205154781916,5.96488062984843,6.45433280374088,5.18491351774054,7.93945247584934,7.30363048633097,7.16585637610773,6.40232337924529,7.29511369974165,5.74326347915778,5.84273650072849,6.484340754531,6.49543133552379,6.09996005769065,6.82004570300811,4.91727701912802,5.20559587975124,5.09661073470247,6.60750855580384,5.81895563947489,5.27610375477034,6.39419461923437,6.30570495224067,6.57730568335298,6.605281387906,7.65018982390081,7.30206351100522,5.60564068978625,6.37385135383373,6.37226645307343,7.35188656681143,7.26694700406385,6.96275018768914,4.49681319070083,8.53207896405893,6.1084503698177,6.50903026191362,7.2335741544434,6.07631661282534,6.79547655912066,6.56068781106986,6.54966837838435,5.1847469275289,6.62984561195696,6.52371918748833,5.54132908721759,6.23654568896326,7.74092763670175
KRAS,8.42176183016889,8.79426599038377,8.51709366593562,8.24668068755973,8.73882348773994,7.87596517453173,7.15727365255287,8.48368985046451,8.9459270373305,8.12809603724209,8.23845423071369,7.99362279610093,8.13062933139312,7.97097384181943,10.4031392993814,8.48664774722785,8.88227487196317,7.54825668332418,9.57116317224289,8.15055125710149,6.91688381260286,8.42370443370523,8.07484986324741,8.81744808249125,8.23069055335438,8.25179381253261,7.92682945932365,8.70890322675586,8.13280754705763,9.15072203738305,8.44060481105209,7.32390333192137,9.10196281228978,8.08836254365037,8.43446790296436,8.0960154208626,8.80461529284167,11.1509788384363,9.23609079865485,8.25140650561459,7.84532146479439,6.69454860219814,8.80508825606454,7.78214988538794,8.01801100993409,8.22609843587858,11.2658628495253,8.15266173156693,8.16755117284389,7.61908017002019
JAK2,3.3861558455651,3.43830939149107,3.60780866516642,3.481014069356,2.91732073538574,3.29112611540691,3.96369821811566,3.98316184590428,3.79745707279867,3.95967677239705,3.39585313450203,4.45067405892351,3.98260493988549,4.51380901538678,3.40904044227254,3.60693108761067,3.45758847964693,4.28304835713467,2.951449809329,4.21205202333991,3.17335187122128,3.6704667150445,4.09910162969001,3.52118837562934,3.30348774087449,4.30626714784072,4.32872668946069,3.82883600765566,3.2215918602317,3.95884879310842,3.78820013668255,3.17411224615724,3.63315003626658,4.74237811799805,5.08669695687547,3.72372098558047,3.91533433723985,3.67975609113972,3.42179914803896,3.19626933099279,4.16419428337877,4.51422968629276,3.70398467420459,3.99370821657824,3.6240393519932,3.40964816041793,3.43997009864352,3.39453340427689,3.35931273070283,3.19124474868026
BRCA1,4.14116049936843,5.32848403525676,3.6128834206934,4.12221367187881,4.28233959400817,3.96782918439426,4.90377453155453,4.99696402433782,5.12452940774829,4.15470537608975,5.37313747443068,4.38818092527964,4.05431557080409,5.77536582704049,5.52809669530714,4.69639671888746,5.18530712294543,4.1970927144057,6.51701552564526,3.58434385847992,3.92998026677091,5.13953411166091,4.67193559494325,6.06613387715228,5.70643706881957,3.74892983297032,4.34110245698435,3.55088258658973,3.68675590703146,4.59648712526803,5.12986655456993,3.52331185300639,4.65433897756751,4.06798089473077,4.05434411311459,4.26792722953593,5.2523854825354,5.46113879694256,3.67787377385804,3.30794549156469,4.01894859155391,4.21457820712626,3.16434023208685,4.16904120535204,4.76685828545752,4.3854607528589,4.8553275298321,5.20994431857723,4.89097251593637,4.16428389160574
BRCA2,3.63261654421014,3.51165101556597,3.32383994297747,3.39526845845222,3.32948992490423,3.335865784974,3.48351198186027,3.36792479590977,3.57683471648128,3.36769085240667,3.55323963359768,3.39299008574282,3.47265752719222,3.18236759343926,3.46552798371446,3.23676860475962,3.43096228699602,3.83000594230749,4.1896108780209,5.55512124642534,3.56247583496322,3.15237511998685,3.3793808787572,3.24251600997929,3.31140567566012,3.23670900143951,3.16205860090912,3.23879522556286,3.22808942148181,3.64360836689808,3.1891189552454,3.4017289330879,4.03041863933458,3.82049247544354,3.36517294282986,3.33056904787942,3.51103862630744,3.54688853606462,3.88475303070679,3.69825922045598,3.85916015320306,3.28330102199128,4.12783891848368,3.44994687299375,3.27352930431511,3.26456178820348,3.30445521186493,3.02946645134012,3.5424519133026,3.24892649851328
PPM1D,6.98035605372644,6.21653974801177,6.08599723625169,5.357829954641,5.49910991150868,5.06697376548642,5.42299710275143,6.47917590412931,6.20964460638442,5.93905502351372,6.71856434485821,5.54695452282627,5.74852464434154,6.04218779807021,5.53242270994197,4.66639417098689,5.98878801719356,5.04682155647271,7.23076519962906,5.18241503262831,7.08627387502942,5.34138911700822,5.70663873448238,6.32594845638205,7.29852752450492,6.16572793566552,5.18389532240253,5.97988883228707,5.09029447597343,5.70843210805082,4.77100863098558,5.01615071149519,6.32459340223887,5.74328638411681,5.18211773766772,6.21117303362481,5.24413747062575,7.40141604141977,5.91834705567604,5.12414471092115,6.34793056911884,6.06025479509196,5.79042194187959,5.95592168478903,6.51977460874219,8.40400946170227,5.92653421933641,5.22477981586808,6.79314824782195,5.41612114972068
